Code,Name,Address 1,Address 2,Address 3,Address 4,Address 5,Postcode,Type,Parent Organisation Code,Parent Organisation Name,,,
RYF10,Wimbourne Ambulance Station,Hanham Road,,,Wimborne,Dorset,BH21 1AS,Ambulance station,QVV,NHS Dorset Integrated Care Board,,,
RYFCT,Cinderford Ambulance Station,St. Whites Road,,,Cinderford,,GL14 2TT,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYFCV,Cirencester Ambulance Station,Tetbury Road,,,Cirencester,Gloucestershire,GL7 1UY,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYFCW,Coleford Ambulance Station,High Street,,,Coleford,Gloucestershire,GL16 8HF,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYFCL,Lydney Ambulance Station,Church Road,,,Lydney,Gloucestershire,GL15 5EA,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYFCM,Moreton-in-Marsh Ambulance Station,Parkers Lane,,,Moreton-in-Marsh,Gloucestershire,GL56 0DP,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYFCX,Staverton Ambulance Station,Commerce Road,Ashville Business Park,Cheltenham Road East,Gloucester,Gloucestershire,GL2 9QL,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYFCQ,Stroud Ambulance Station,Paganhill Lane,,,Stroud,Gloucestershire,GL5 4JT,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYFCR,Tewkesbury Ambulance Station,Oldbury Road,,,Tewkesbury,Gloucestershire,GL20 5LJ,Ambulance station,QR1,NHS Gloucestershire Integrated Care Board,,,
RYF47,Bridgwater Ambulance Station,Albert Street,,,Bridgwater,Somerset,TA6 3RG,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF52,Burnham Ambulance Station,Love Lane,,,Burnham-on-Sea,Somerset,TA8 1EU,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF50,Castle Cary Ambulance Station,Victoria Park,,,Castle Cary,Somerset,BA7 7DG,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF91,Dorset and Somerset Air Ambulance,"Henstridge Airfield, The Marsh",Henstridge,,Templecombe,Somerset,BA8 0TN,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF55,Frome Ambulance Station,2 Georges Ground,,,Frome,Somerset,BA11 4RP,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF53,Glastonbury Ambulance Station,Beckery New Road,,,Glastonbury,Somerset,BA6 9NS,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF51,Ilminster Ambulance Station,Butts Road,,,Ilminster,Somerset,TA19 0AX,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF48,Minehead Ambulance Station,Townsend Road,,,Minehead,Somerset,TA24 5RJ,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF49,Shepton Mallet Ambulance Station,Board Cross,,,Shepton Mallet,Somerset,BA4 5DX,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF46,Taunton Ambulance Station,Lisieux Way,,,Taunton,Somerset,TA1 2LB,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
RYF54,Yeovil Ambulance Station,Reckleford,,,Yeovil,Somerset,BA20 1JF,Ambulance station,QSL,NHS Somerset Integrated Care Board,,,
