lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014390,Bath and North East Somerset 018D,18,24,33,28,23,26,36,28,18,20,16,21,21,15,17,12,10,16,10,31,29,21,27,14,22,14,25,34,21,18,22,18,29,22,19,22,19,22,17,12,16,12,15,12,18,21,10,25,11,23,26,28,14,16,27,12,17,19,19,12,12,14,11,11,11,5,10,11,12,6,8,14,7,9,3,13,6,2,5,9,8,4,5,2,8,1,3,0,1,0
E01014391,Bath and North East Somerset 016A,18,15,10,23,23,19,17,15,21,24,21,15,13,12,17,13,17,21,15,11,15,11,11,13,6,14,12,12,13,15,18,21,20,26,22,16,25,19,17,22,28,18,22,16,11,17,23,18,13,24,23,18,28,28,25,16,33,32,31,24,31,32,31,37,23,34,25,19,18,33,21,20,24,28,19,18,15,19,15,15,17,16,21,13,9,9,4,4,5,7
E01014392,Bath and North East Somerset 016B,10,10,4,3,3,3,5,7,9,9,8,7,14,14,13,8,8,5,22,18,15,9,8,10,6,13,10,10,11,2,4,5,7,7,6,5,12,9,10,9,8,5,12,12,9,11,9,7,10,17,18,18,13,15,19,16,20,22,27,18,25,16,24,17,12,19,19,22,17,18,25,18,24,21,21,20,14,15,13,10,13,7,2,10,9,12,8,8,13,6
E01014393,Bath and North East Somerset 023A,13,10,8,13,15,22,13,20,13,13,22,16,15,27,22,12,14,18,3,7,15,11,5,6,14,9,9,12,10,16,10,14,13,15,17,13,12,15,6,7,19,19,19,18,17,13,25,17,25,22,20,23,22,22,27,15,14,14,19,23,19,18,18,17,19,13,18,17,25,19,20,20,25,22,17,21,13,10,10,11,6,16,8,7,5,7,1,7,5,7
E01014394,Bath and North East Somerset 023B,9,14,28,21,18,18,10,31,16,24,16,19,17,20,18,20,19,23,23,12,13,13,15,15,18,12,15,13,15,20,11,13,10,25,17,18,25,12,20,21,20,13,30,21,11,27,26,19,20,28,29,22,36,43,32,34,28,25,19,31,25,23,24,24,21,17,17,30,27,20,20,25,24,23,26,20,17,29,20,11,13,11,5,12,10,5,5,5,2,6
E01014395,Bath and North East Somerset 003A,10,12,5,12,15,4,15,7,13,7,11,17,13,14,15,12,15,7,14,6,9,5,21,6,4,9,9,8,5,7,4,9,14,11,12,9,6,15,11,10,13,12,16,17,13,12,13,15,8,19,20,18,14,17,15,17,24,19,18,21,10,17,20,19,15,25,22,23,11,24,24,28,27,29,40,35,25,19,14,15,11,7,18,13,11,10,10,8,7,2
E01014396,Bath and North East Somerset 003B,11,8,13,12,17,14,17,14,17,16,19,4,23,13,19,17,17,20,10,13,17,10,10,25,21,27,19,12,17,11,18,16,12,20,13,25,19,25,12,18,16,14,22,16,12,18,25,17,28,29,22,21,26,10,15,20,26,18,24,15,15,14,18,11,12,16,12,20,16,15,26,11,20,23,22,9,21,11,12,8,11,13,11,23,13,7,11,7,12,8
E01014397,Bath and North East Somerset 003C,10,15,11,20,18,6,23,14,15,19,12,14,17,13,22,14,11,13,24,6,9,10,17,12,15,11,9,7,10,4,8,10,11,21,11,13,12,17,6,13,20,17,15,18,17,27,18,14,18,15,19,21,20,19,16,15,23,14,16,28,17,20,16,19,19,18,8,12,16,10,14,21,18,35,29,19,15,10,15,10,5,5,10,7,6,7,12,12,7,9
E01014398,Bath and North East Somerset 003D,14,14,15,18,18,18,20,19,23,11,27,20,14,18,25,23,15,18,14,19,11,19,24,14,15,13,13,16,19,17,17,21,20,22,32,26,23,14,22,21,19,21,17,23,14,12,23,28,28,21,23,35,25,28,27,21,18,19,14,30,15,21,16,20,21,15,24,21,13,9,25,16,19,16,18,17,18,14,11,9,8,12,11,13,9,14,9,8,8,10
E01014399,Bath and North East Somerset 001A,34,38,30,29,35,31,35,26,37,32,29,20,27,32,26,26,11,15,12,17,18,22,19,17,27,32,34,39,33,29,44,33,52,44,35,27,45,40,48,46,26,29,39,33,24,19,19,21,25,23,27,27,18,24,23,26,23,32,25,15,31,25,11,28,24,23,31,23,23,18,18,29,34,32,26,23,26,11,26,15,21,19,30,20,19,14,16,18,10,19
