lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014384,Bath and North East Somerset 021C,12.25,16.34,19.4,19.4,13.27,25.53,24.51,24.51,24.51,14.3,26.55,19.4,28.59,26.55,26.55,29.61,22.47,28.59,20.42,10.21,15.32,8.17,16.34,6.13,15.32,14.3,16.34,8.17,16.34,5.11,15.32,17.36,10.21,11.23,21.44,22.47,17.36,12.25,21.44,23.49,25.53,16.34,23.49,16.34,18.38,22.47,21.44,23.49,23.49,31.66,19.4,16.34,24.51,23.49,29.61,26.55,22.47,40.85,38.8,25.53,33.7,21.44,14.3,27.57,20.42,17.36,21.44,5.11,14.3,12.25,14.3,19.4,23.49,11.23,18.38,13.27,17.36,17.36,13.27,9.19,13.27,11.23,9.19,13.27,3.06,6.13,9.19,8.17,5.11,6.13
E01014385,Bath and North East Somerset 020A,7.15,12.25,20.42,10.21,21.44,12.25,15.32,10.21,13.27,15.32,22.47,14.3,18.38,28.59,18.38,16.34,18.38,14.3,17.36,7.15,9.19,10.21,14.3,14.3,14.3,8.17,11.23,11.23,10.21,8.17,9.19,18.38,17.36,19.4,10.21,18.38,22.47,22.47,13.27,15.32,23.49,13.27,8.17,11.23,12.25,14.3,13.27,17.36,20.42,21.44,22.47,30.63,24.51,31.66,23.49,25.53,27.57,33.7,16.34,34.72,28.59,28.59,27.57,16.34,15.32,24.51,21.44,12.25,17.36,18.38,25.53,13.27,12.25,20.42,20.42,18.38,19.4,25.53,11.23,5.11,10.21,9.19,8.17,8.17,8.17,4.08,4.08,4.08,8.17,7.15
E01014386,Bath and North East Somerset 020B,11.23,16.34,15.32,14.3,16.34,20.42,22.47,12.25,16.34,22.47,17.36,8.17,17.36,16.34,14.3,25.53,14.3,8.17,21.44,6.13,10.21,12.25,6.13,3.06,10.21,12.25,12.25,16.34,13.27,14.3,7.15,7.15,9.19,22.47,13.27,13.27,12.25,10.21,24.51,17.36,18.38,17.36,12.25,22.47,10.21,18.38,20.42,17.36,20.42,20.42,25.53,11.23,14.3,11.23,14.3,19.4,17.36,15.32,22.47,19.4,10.21,14.3,17.36,16.34,17.36,9.19,16.34,19.4,9.19,12.25,9.19,17.36,15.32,15.32,11.23,13.27,16.34,9.19,8.17,5.11,11.23,5.11,7.15,4.08,7.15,3.06,5.11,4.08,6.13,3.06
E01014387,Bath and North East Somerset 018A,18.38,26.55,18.38,25.53,21.44,21.44,24.51,16.34,21.44,19.4,29.61,27.57,19.4,27.57,17.36,24.51,17.36,17.36,15.32,38.8,46.97,36.76,26.55,27.57,29.61,23.49,17.36,20.42,20.42,27.57,27.57,25.53,18.38,21.44,26.55,20.42,34.72,17.36,23.49,19.4,21.44,31.66,27.57,23.49,18.38,25.53,28.59,16.34,10.21,25.53,20.42,22.47,20.42,15.32,17.36,27.57,20.42,16.34,18.38,19.4,17.36,18.38,10.21,17.36,19.4,23.49,15.32,7.15,9.19,15.32,14.3,9.19,14.3,10.21,10.21,14.3,9.19,10.21,8.17,5.11,6.13,10.21,6.13,9.19,6.13,3.06,3.06,8.17,5.11,4.08
E01014388,Bath and North East Somerset 018B,4.08,9.19,9.19,13.27,5.11,21.44,4.08,11.23,9.19,17.36,15.32,31.66,24.51,21.44,24.51,15.32,17.36,20.42,10.21,10.21,15.32,10.21,12.25,23.49,11.23,16.34,4.08,9.19,7.15,3.06,11.23,12.25,7.15,9.19,5.11,7.15,13.27,11.23,5.11,7.15,16.34,12.25,11.23,16.34,13.27,4.08,16.34,6.13,18.38,15.32,28.59,18.38,21.44,20.42,29.61,33.7,19.4,24.51,15.32,16.34,14.3,24.51,16.34,17.36,23.49,13.27,13.27,13.27,24.51,16.34,14.3,19.4,26.55,22.47,23.49,17.36,18.38,12.25,9.19,14.3,13.27,10.21,7.15,9.19,7.15,7.15,6.13,9.19,9.19,10.21
E01014389,Bath and North East Somerset 018C,28.59,17.36,23.49,31.66,19.4,27.57,24.51,24.51,18.38,26.55,28.59,35.74,31.66,28.59,17.36,22.47,17.36,28.59,13.27,27.57,27.57,32.68,54.12,31.66,27.57,27.57,16.34,21.44,30.63,14.3,21.44,16.34,16.34,23.49,16.34,25.53,24.51,30.63,22.47,20.42,22.47,36.76,22.47,27.57,32.68,18.38,15.32,26.55,25.53,28.59,30.63,26.55,14.3,20.42,28.59,20.42,21.44,24.51,18.38,21.44,13.27,16.34,22.47,17.36,26.55,24.51,27.57,24.51,18.38,15.32,26.55,19.4,18.38,16.34,16.34,26.55,16.34,27.57,13.27,10.21,10.21,13.27,14.3,10.21,6.13,8.17,4.08,1.02,14.3,4.08
E01014390,Bath and North East Somerset 018D,18.38,24.51,33.7,28.59,23.49,26.55,36.76,28.59,18.38,20.42,16.34,21.44,21.44,15.32,17.36,12.25,10.21,16.34,10.21,31.66,29.61,21.44,27.57,14.3,22.47,14.3,25.53,34.72,21.44,18.38,22.47,18.38,29.61,22.47,19.4,22.47,19.4,22.47,17.36,12.25,16.34,12.25,15.32,12.25,18.38,21.44,10.21,25.53,11.23,23.49,26.55,28.59,14.3,16.34,27.57,12.25,17.36,19.4,19.4,12.25,12.25,14.3,11.23,11.23,11.23,5.11,10.21,11.23,12.25,6.13,8.17,14.3,7.15,9.19,3.06,13.27,6.13,2.04,5.11,9.19,8.17,4.08,5.11,2.04,8.17,1.02,3.06,0.0,1.02,0.0
E01014391,Bath and North East Somerset 016A,18.38,15.32,10.21,23.49,23.49,19.4,17.36,15.32,21.44,24.51,21.44,15.32,13.27,12.25,17.36,13.27,17.36,21.44,15.32,11.23,15.32,11.23,11.23,13.27,6.13,14.3,12.25,12.25,13.27,15.32,18.38,21.44,20.42,26.55,22.47,16.34,25.53,19.4,17.36,22.47,28.59,18.38,22.47,16.34,11.23,17.36,23.49,18.38,13.27,24.51,23.49,18.38,28.59,28.59,25.53,16.34,33.7,32.68,31.66,24.51,31.66,32.68,31.66,37.78,23.49,34.72,25.53,19.4,18.38,33.7,21.44,20.42,24.51,28.59,19.4,18.38,15.32,19.4,15.32,15.32,17.36,16.34,21.44,13.27,9.19,9.19,4.08,4.08,5.11,7.15
E01014392,Bath and North East Somerset 016B,10.21,10.21,4.08,3.06,3.06,3.06,5.11,7.15,9.19,9.19,8.17,7.15,14.3,14.3,13.27,8.17,8.17,5.11,22.47,18.38,15.32,9.19,8.17,10.21,6.13,13.27,10.21,10.21,11.23,2.04,4.08,5.11,7.15,7.15,6.13,5.11,12.25,9.19,10.21,9.19,8.17,5.11,12.25,12.25,9.19,11.23,9.19,7.15,10.21,17.36,18.38,18.38,13.27,15.32,19.4,16.34,20.42,22.47,27.57,18.38,25.53,16.34,24.51,17.36,12.25,19.4,19.4,22.47,17.36,18.38,25.53,18.38,24.51,21.44,21.44,20.42,14.3,15.32,13.27,10.21,13.27,7.15,2.04,10.21,9.19,12.25,8.17,8.17,13.27,6.13
E01014393,Bath and North East Somerset 023A,13.27,10.21,8.17,13.27,15.32,22.47,13.27,20.42,13.27,13.27,22.47,16.34,15.32,27.57,22.47,12.25,14.3,18.38,3.06,7.15,15.32,11.23,5.11,6.13,14.3,9.19,9.19,12.25,10.21,16.34,10.21,14.3,13.27,15.32,17.36,13.27,12.25,15.32,6.13,7.15,19.4,19.4,19.4,18.38,17.36,13.27,25.53,17.36,25.53,22.47,20.42,23.49,22.47,22.47,27.57,15.32,14.3,14.3,19.4,23.49,19.4,18.38,18.38,17.36,19.4,13.27,18.38,17.36,25.53,19.4,20.42,20.42,25.53,22.47,17.36,21.44,13.27,10.21,10.21,11.23,6.13,16.34,8.17,7.15,5.11,7.15,1.02,7.15,5.11,7.15
E01014394,Bath and North East Somerset 023B,9.19,14.3,28.59,21.44,18.38,18.38,10.21,31.66,16.34,24.51,16.34,19.4,17.36,20.42,18.38,20.42,19.4,23.49,23.49,12.25,13.27,13.27,15.32,15.32,18.38,12.25,15.32,13.27,15.32,20.42,11.23,13.27,10.21,25.53,17.36,18.38,25.53,12.25,20.42,21.44,20.42,13.27,30.63,21.44,11.23,27.57,26.55,19.4,20.42,28.59,29.61,22.47,36.76,43.91,32.68,34.72,28.59,25.53,19.4,31.66,25.53,23.49,24.51,24.51,21.44,17.36,17.36,30.63,27.57,20.42,20.42,25.53,24.51,23.49,26.55,20.42,17.36,29.61,20.42,11.23,13.27,11.23,5.11,12.25,10.21,5.11,5.11,5.11,2.04,6.13
