lsoa_code,lsoa_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
E01014392,Bath and North East Somerset 016B,4,6,2,0,3,2,3,3,7,5,4,2,8,8,7,6,1,3,13,8,8,4,2,4,2,5,5,4,7,1,2,2,4,4,2,2,8,2,2,4,4,2,5,6,4,5,6,5,4,11,11,10,7,6,9,2,13,10,14,10,14,10,14,12,4,7,8,14,7,9,15,13,11,8,10,8,6,10,7,5,5,2,2,7,5,4,6,5,9,3
E01014393,Bath and North East Somerset 023A,7,4,6,5,8,11,8,12,10,0,10,7,11,15,8,6,6,6,2,4,8,5,2,3,8,7,6,4,8,6,4,7,9,10,10,5,8,9,3,3,11,9,10,12,8,8,13,9,11,11,12,13,13,9,12,7,7,10,10,10,12,10,7,10,10,5,8,10,17,11,6,9,12,10,8,9,7,7,7,5,3,7,3,5,2,4,1,3,3,2
E01014394,Bath and North East Somerset 023B,4,9,15,8,7,12,7,16,6,13,8,9,7,11,5,12,11,14,7,6,7,6,6,8,12,5,7,6,6,11,4,7,4,13,8,9,11,5,10,10,6,6,15,12,7,14,14,13,9,16,11,10,19,24,15,17,10,11,10,23,13,14,10,15,11,8,11,15,13,6,11,10,13,12,14,10,7,15,10,6,7,6,2,7,5,5,5,2,2,3
E01014395,Bath and North East Somerset 003A,6,4,4,7,9,2,7,2,6,2,5,9,7,7,7,4,6,5,7,3,4,3,12,3,3,4,4,3,2,5,2,4,7,7,5,2,5,4,6,7,8,7,9,7,6,5,4,8,3,12,11,9,9,7,6,13,15,10,7,9,7,11,7,9,6,11,9,16,5,15,15,13,16,13,22,18,15,8,7,5,3,5,10,5,10,4,3,3,4,0
E01014396,Bath and North East Somerset 003B,4,4,4,7,9,6,10,5,8,10,5,3,11,7,9,9,9,10,4,7,3,4,5,8,7,12,10,5,8,10,8,7,6,9,3,11,12,11,10,10,6,5,11,6,6,9,14,9,18,15,12,11,11,6,9,9,16,9,16,6,6,6,11,4,6,10,5,12,8,9,12,6,13,15,8,6,10,4,7,5,8,9,6,13,8,4,8,4,5,7
E01014397,Bath and North East Somerset 003C,5,12,5,6,9,2,15,3,7,7,6,6,10,4,9,8,5,5,11,2,3,6,10,4,10,5,3,3,5,3,5,7,7,11,8,8,5,9,3,6,8,11,1,14,9,15,9,9,8,4,12,13,5,8,12,9,13,11,9,16,8,10,8,9,10,8,2,7,8,5,7,9,9,15,12,14,12,4,8,6,1,2,6,3,5,1,6,6,2,4
E01014398,Bath and North East Somerset 003D,5,10,7,6,9,10,7,5,9,6,13,11,8,8,11,14,10,7,7,7,3,6,10,8,8,7,5,4,10,8,6,17,15,11,17,12,10,8,14,11,6,10,9,14,6,6,13,16,14,11,11,22,16,17,13,11,11,8,6,14,7,9,10,8,9,6,14,12,8,5,13,8,9,10,6,12,9,9,9,5,5,6,6,6,5,8,5,3,3,5
E01014399,Bath and North East Somerset 001A,16,22,18,10,17,11,19,15,18,19,14,8,15,16,17,8,7,4,5,6,8,12,10,5,15,14,19,17,19,17,21,22,23,27,24,17,26,21,22,22,13,13,19,19,10,9,9,5,15,15,13,10,10,11,16,17,14,13,13,8,15,16,5,13,17,7,16,12,15,8,10,13,21,15,13,12,16,2,16,12,15,9,17,9,7,8,12,11,8,11
E01014400,Bath and North East Somerset 001B,20,16,9,18,14,19,17,10,13,10,14,15,14,14,11,9,10,8,10,12,18,12,15,18,16,16,17,22,18,22,16,27,29,24,23,15,23,27,11,21,17,12,13,22,15,13,19,9,22,11,13,16,17,19,16,9,19,14,23,12,15,18,14,11,11,16,8,18,12,7,15,19,15,16,13,11,10,13,14,9,7,9,14,7,10,10,7,5,4,2
E01014401,Bath and North East Somerset 001C,5,10,10,15,4,10,12,11,9,11,14,12,18,9,13,6,6,5,9,5,5,8,6,13,6,9,8,11,12,13,11,15,10,11,18,10,15,15,12,17,13,11,6,5,15,10,12,13,14,11,9,6,7,14,9,15,14,9,16,8,7,18,13,9,9,7,13,7,6,10,9,13,3,10,11,4,4,9,6,4,5,6,9,4,5,5,3,2,6,2
